Oid;SyncId;Code;Barcode;Reference;Label1;Label2;Label3;Type;VAT;URL;IsBatchManaged;IsPerishable;IsDirectDistributed;DefaultBatchStatus;Family;Category1;Category2;Category3;Category4;Category5;AccountingCode;SearchField;Image;Brand;Medecine;Remark;Note;PriceListScaleType;VWAP;VWAPphysical;VWAPinvoice;LPP;Quantity;QuantityMin;QuantityMin2;QuantityMax;QuantityMax2;TariffType;MaxFU;MinPP;MaxPP;MinSP;MaxSP;IsBOM;ManagedBySerialNumber;ManagedByQuota;Equivalence;Conditioning;DefaultPacking;PurchasePacking;SalesPacking;UnitPacking;IsOutOfService;UseNegativeStock;IsSalesOnState;IsUnderCommission;IsInterpretedCode;IsEditablePrice;IsUnitManaged;IsOutputControlled;IsPrintable;UnitValue;UnitWeight;IsRawMaterial;PhysicalQuantity;LogicalQuantity;DamagedQuantity;ArrivedQuantity;ReservedQuantity;DraftQuantity;Blocked;BlockedBy;BlockedDate;UnitOfMeasure;Locked;LockedBy;LockedDate;CreationDate;CreatedBy;LastModificationDate;ModifiedBy;OptimisticLockField;PromotionIn;ResultInPromotion;MedicineCode;IsExcluded;Coefficient1;Coefficient2;Usn;IsDecomposableOnly;IsComposableOnly;IsCamsspRefundable;ExpirationDays;DeadStockDays;Location;Width;Height;Length;Thickness;VisibleInVirtualMarket;BlockingReason;IsForLease;Surface;IsImmobilization;IsMostUsed;BlockedReservationQuantity;DefaultInterpretedCode;DefaultFormula;SHP;InvoiceQuantity;IsTactileSelling;PromotionDiscount;StartOfPromotion;EndOfPromotion;IsLoyalty;LoyaltyRatio;IsSemiFinished;StockAccount;ProductionAccount;ConsumptionAccount;ToSynchronize;Pattern;IsSparePart;MarginItem;PerRangeFrom;PerRangeTo;Equivalents;PackingCodes;IsSent;DimensionType
627;b6f51b43-f130-4690-aaba-f9c491cde2fd;000498;;;BUREAU DIRECTIONNEL ZAINE 160 TABLE BASSE / CAISSON MOBIL / RETOUR;;p_Lot is null;0;1;;f;f;f;;15;11;;;;;;BUREAU DIRECTIONNEL ZAINE 160 TABLE BASSE / CAISSON MOBIL / RETOUR;;;;;;;0.00000000;0.00000000;0.00000000;0.00000000;0;0;0;0;0;0;;;;;;f;f;f;00000000-0000-0000-0000-000000000000;0.00000000;549;;;549;f;f;f;f;f;f;f;f;f;0;0;f;0;0;0;0;0;0;0;;;;f;;;2026-04-07 11:19:54.17113;FAHIM;;;125;;;;f;0.00000000;0.00000000;0;f;f;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;-1;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;, ;"";f;0
444;72f79ca4-1231-4b54-ac13-cffbce0f3a6b;CHCANADA;;;CHAISE VISITEUR CANADA EPOXY;;;0;3;;f;f;f;;12;;;;;;;;;;;;;;3032.52980000;0.00000000;0.00000000;0.00000000;0;0;0;0;0;0;0;0.00000000;0.00000000;0.00000000;0.00000000;t;f;f;00000000-0000-0000-0000-000000000000;0.00000000;367;;;;f;f;f;f;f;f;f;f;f;0;0;f;0;58;0;0;0;0;0;;;Unité;f;;;;;2026-02-07 10:07:33.105854;FAHIM;561;;;;f;0.00000000;0.00000000;0;f;t;f;0;0;;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;444;0.00000000;-463;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;444;"";f;0
689;07daf2a8-24de-4f9b-9be1-bf0adeebf723;000558;;;CHAISE VERONE (2020A);;p_Lot is null;0;1;;f;f;f;;10;;;;;;;CHAISE VERONE (2020A);;;;;;;11800.00000000;0.00000000;0.00000000;11800.00000000;0;0;0;0;0;0;;;;;;f;f;f;00000000-0000-0000-0000-000000000000;0.00000000;611;;;611;f;f;f;f;f;f;f;f;f;0;0;f;0;0;0;0;0;0;0;;;;f;;;2026-06-11 12:44:17.951291;FAHIM;;;76;;;;f;0.00000000;0.00000000;0;f;f;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;, ;"";f;0
636;8cc9a234-9a8a-434f-b4b9-4b50f251915f;000507;;;"CAISSON RETOUR MAX 80*78*40
";;p_Lot is null;0;1;;f;f;f;;10;11;;;;;;"CAISSON RETOUR MAX 80*78*40
";;;;;;;8075.00000000;0.00000000;0.00000000;8500.00000000;0;0;0;0;0;0;;;;;;f;f;f;00000000-0000-0000-0000-000000000000;0.00000000;558;;;558;f;f;f;f;f;f;f;f;f;0;0;f;0;0;0;0;0;0;0;;;;f;;;2026-04-13 09:59:55.013181;FAHIM;;;164;;;;f;0.00000000;0.00000000;0;f;f;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;-2;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;, ;"";f;0
320;281fe12c-26a8-4e4c-9861-3dbfd4ef26f3;SK0002;;;SKAI IMPORTATION ;;;0;3;;f;f;f;2;7;7;1;;;;;;;;;;;;432.87490000;0.00000000;0.00000000;450.00000000;642;0;0;0;0;0;0;0.00000000;0.00000000;0.00000000;0.00000000;f;f;f;00000000-0000-0000-0000-000000000000;0.00000000;259;;;;f;f;f;f;f;f;f;f;f;0;0;t;0;1459.5;0;0;0;0;0;;;Unité;f;;;;;2026-02-07 10:07:34.518375;FAHIM;377;;;;f;0.00000000;0.00000000;0;f;f;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;;;f;0
47;edd92754-ca0c-42db-9d80-ceea911ad714;IMP007;;;CHAISE IMPERIAL TRIPLETTE LUXE SKY EPOXY ;;;0;3;;f;f;f;2;12;;1;;;;;;;;;;;;5483.80000000;0.00000000;0.00000000;0.00000000;0;0;0;0;0;0;0;0.00000000;0.00000000;0.00000000;0.00000000;t;f;f;00000000-0000-0000-0000-000000000000;0.00000000;43;;;;f;f;f;f;f;f;f;f;f;0;0;f;0;1;0;0;0;0;0;;;Unité;f;;;;;2026-02-07 10:07:37.309129;FAHIM;295;;;;f;0.00000000;0.00000000;0;f;t;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;;;f;0
412;fa90eabb-f80f-4acd-8062-129cbd9979ee;TB14500;;;TABLETTE EN PLASTIQUE ;;;0;1;;f;f;f;;3;2;;;;;;;;;;;;;362.96000000;0.00000000;0.00000000;350.00000000;0;0;0;0;0;0;0;0.00000000;0.00000000;0.00000000;0.00000000;f;f;f;00000000-0000-0000-0000-000000000000;0.00000000;338;;;;f;f;f;f;f;f;f;f;f;0;0;f;0;1;0;0;0;0;0;;;Unité;f;;;;;2026-02-07 10:07:33.491772;FAHIM;328;;;;f;0.00000000;0.00000000;0;f;f;f;0;0;;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;;;f;0
209;74ba7e9a-1ede-450f-9a8e-c790a2a570be;FRD6012;;;FER ROND D 12;;;0;1;;f;f;f;3;2;;1;;;;;;;;;;;;519.83710000;0.00000000;0.00000000;512.60504202;87.25;0;0;0;0;0;0;0.00000000;0.00000000;0.00000000;0.00000000;f;f;f;00000000-0000-0000-0000-000000000000;0.00000000;178;;;;f;f;f;f;f;f;f;f;f;0;0;f;0;133;0;0;0;0;0;;;Unité;f;;;;;2026-02-07 10:07:35.54598;FAHIM;302;;;;f;0.00000000;0.00000000;0;f;f;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;;;f;0
391;0f7a374e-921c-4e62-b78f-f93e7b0322c9;P37140;;; PIED METAL STATION MAXI 2  M 140;;;0;3;;f;f;f;2;13;;1;;;;;;;;;;;;3172.68000000;0.00000000;0.00000000;0.00000000;0;0;0;15;0;0;0;0.00000000;0.00000000;0.00000000;0.00000000;t;f;f;00000000-0000-0000-0000-000000000000;0.00000000;321;;;;f;f;f;f;f;f;f;f;f;0;0;f;0;0;0;0;0;0;0;;;Unité;f;;;;;2026-02-07 10:07:33.706153;FAHIM;291;;;;f;0.00000000;0.00000000;0;f;t;f;0;0;1;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;;;f;0
361;e8490f12-8942-4a62-bc91-2cd036e48e8e;SBPB1600;;;BANC PUBLIQUE 1600;;;0;3;;f;f;f;2;14;9;;;;;;;;;;;;;2321.80000000;0.00000000;0.00000000;0.00000000;0;0;0;0;0;0;0;0.00000000;0.00000000;0.00000000;0.00000000;t;f;f;00000000-0000-0000-0000-000000000000;0.00000000;296;;;;f;f;f;f;f;f;f;f;f;0;0;f;0;0;0;0;0;0;0;;;Unité;f;;;;;2026-02-07 10:07:34.049637;FAHIM;291;;;;f;0.00000000;0.00000000;0;f;t;f;0;0;;0.0000;0.0000;0.0000;0.0000;f;;f;0.0000;f;f;0;;;0.00000000;0;f;0.000000000000000;;;f;0.00000000;f;;;;f;;f;0.00000000;;;;;f;0
